Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated in 4 Years
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,All,*,*,93.1
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,American Indian or Alaska Native,*,*,*
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Black/African American,*,*,*
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,EL Cohort,*,*,*
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Female,*,*,92.6
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Foster Care Cohort,*,*,*
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Hispanic or Latino,*,*,*
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Homeless Cohort,*,*,*
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Income Eligibility 1 and 2,*,*,*
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Male,*,*,93.6
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Migrant Cohort,*,*,*
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Military Cohort,*,*,*
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Multiple Races,*,*,*
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Native Hawaiian or Pacific Islander,*,*,*
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,Special Education,*,*,77.8
2022,4 Year,4153,St Johns Unified District,4711,St Johns High School,Apache,White,*,*,90.9
2022,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,All,*,*,37.5
2022,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,American Indian or Alaska Native,*,*,*
2022,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,EL Cohort,*,*,*
2022,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Female,*,*,25
2022,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Foster Care Cohort,*,*,*
2022,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Hispanic or Latino,*,*,50
2022,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Homeless Cohort,*,*,*
2022,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Income Eligibility 1 and 2,*,*,*
2022,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Male,*,*,50
2022,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Migrant Cohort,*,*,*
2022,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Military Cohort,*,*,*
2022,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Multiple Races,*,*,*
2022,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,Special Education,*,*,*
2022,4 Year,4153,St Johns Unified District,89607,St. Johns Learning Center,Apache,White,*,*,50
2022,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,All,120,148,81.1
2022,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,American Indian or Alaska Native,117,142,82.4
2022,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,EL Cohort,*,*,66.7
2022,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Female,*,*,*
2022,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Foster Care Cohort,*,*,*
2022,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Hispanic or Latino,*,*,*
2022,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Homeless Cohort,*,*,*
2022,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Income Eligibility 1 and 2,*,*,*
2022,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Male,*,*,71
2022,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Migrant Cohort,*,*,*
2022,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Military Cohort,*,*,*
2022,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Native Hawaiian or Pacific Islander,*,*,*
2022,4 Year,4154,Window Rock Unified District,4717,Window Rock High School,Apache,Special Education,*,*,70
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,All,*,*,95.6
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,American Indian or Alaska Native,*,*,*
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Black/African American,*,*,*
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,EL Cohort,*,*,*
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Female,*,*,92.3
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Foster Care Cohort,*,*,*
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Hispanic or Latino,*,*,90.9
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Homeless Cohort,*,*,*
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Income Eligibility 1 and 2,*,*,*
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Male,*,*,*
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Migrant Cohort,*,*,*
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Military Cohort,*,*,*
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Multiple Races,*,*,*
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,Special Education,*,*,*
2022,4 Year,4155,Round Valley Unified District,4721,Round Valley High School,Apache,White,*,*,*
2022,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,All,*,*,66.7
2022,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,EL Cohort,*,*,*
2022,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Female,*,*,44.4
2022,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Foster Care Cohort,*,*,*
2022,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Hispanic or Latino,*,*,50
2022,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Homeless Cohort,*,*,*
2022,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Income Eligibility 1 and 2,*,*,*
2022,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Male,*,*,*
2022,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Migrant Cohort,*,*,*
2022,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Military Cohort,*,*,*
2022,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,Special Education,*,*,*
2022,4 Year,4155,Round Valley Unified District,92686,Round Valley AOI,Apache,White,*,*,85.7
2022,4 Year,4156,Sanders Unified District,4724,Valley High School,Apache,All,*,*,84.5
2022,4 Year,4156,Sanders Unified District,4724,Valley High School,Apache,American Indian or Alaska Native,*,*,83.6
2022,4 Year,4156,Sanders Unified District,4724,Valley High School,Apache,EL Cohort,*,*,71.4
2022,4 Year,4156,Sanders Unified District,4724,Valley High School,Apache,Female,*,*,95.8
2022,4 Year,4156,Sanders Unified District,4724,Valley High School,Apache,Foster Care Cohort,*,*,*
2022,4 Year,4156,Sanders Unified District,4724,Valley High School,Apache,Hispanic or Latino,*,*,*
2022,4 Year,4156,Sanders Unified District,4724,Valley High School,Apache,Homeless Cohort,*,*,*
2022,4 Year,4156,Sanders Unified District,4724,Valley High School,Apache,Income Eligibility 1 and 2,*,*,*
2022,4 Year,4156,Sanders Unified District,4724,Valley High School,Apache,Male,*,*,76.5
2022,4 Year,4156,Sanders Unified District,4724,Valley High School,Apache,Migrant Cohort,*,*,*
2022,4 Year,4156,Sanders Unified District,4724,Valley High School,Apache,Military Cohort,*,*,*
2022,4 Year,4156,Sanders Unified District,4724,Valley High School,Apache,Multiple Races,*,*,*
2022,4 Year,4156,Sanders Unified District,4724,Valley High School,Apache,Special Education,*,*,*
2022,4 Year,4156,Sanders Unified District,1001188,Lichíí’ Deezh’áhí Learning Academy,Apache,All,*,*,50
2022,4 Year,4156,Sanders Unified District,1001188,Lichíí’ Deezh’áhí Learning Academy,Apache,American Indian or Alaska Native,*,*,33.3
2022,4 Year,4156,Sanders Unified District,1001188,Lichíí’ Deezh’áhí Learning Academy,Apache,EL Cohort,*,*,*
2022,4 Year,4156,Sanders Unified District,1001188,Lichíí’ Deezh’áhí Learning Academy,Apache,Female,*,*,66.7
2022,4 Year,4156,Sanders Unified District,1001188,Lichíí’ Deezh’áhí Learning Academy,Apache,Foster Care Cohort,*,*,*
2022,4 Year,4156,Sanders Unified District,1001188,Lichíí’ Deezh’áhí Learning Academy,Apache,Hispanic or Latino,*,*,*
2022,4 Year,4156,Sanders Unified District,1001188,Lichíí’ Deezh’áhí Learning Academy,Apache,Homeless Cohort,*,*,*
2022,4 Year,4156,Sanders Unified District,1001188,Lichíí’ Deezh’áhí Learning Academy,Apache,Income Eligibility 1 and 2,*,*,*
2022,4 Year,4156,Sanders Unified District,1001188,Lichíí’ Deezh’áhí Learning Academy,Apache,Male,*,*,*
2022,4 Year,4156,Sanders Unified District,1001188,Lichíí’ Deezh’áhí Learning Academy,Apache,Migrant Cohort,*,*,*
2022,4 Year,4156,Sanders Unified District,1001188,Lichíí’ Deezh’áhí Learning Academy,Apache,Military Cohort,*,*,*
2022,4 Year,4156,Sanders Unified District,1001188,Lichíí’ Deezh’áhí Learning Academy,Apache,Special Education,*,*,*
2022,4 Year,4157,Ganado Unified School District,4728,Ganado High School,Apache,All,75,106,70.8
2022,4 Year,4157,Ganado Unified School District,4728,Ganado High School,Apache,American Indian or Alaska Native,72,103,69.9
2022,4 Year,4157,Ganado Unified School District,4728,Ganado High School,Apache,Asian,*,*,*
2022,4 Year,4157,Ganado Unified School District,4728,Ganado High School,Apache,EL Cohort,*,*,*
2022,4 Year,4157,Ganado Unified School District,4728,Ganado High School,Apache,Female,*,*,81.8
2022,4 Year,4157,Ganado Unified School District,4728,Ganado High School,Apache,Foster Care Cohort,*,*,*
2022,4 Year,4157,Ganado Unified School District,4728,Ganado High School,Apache,Hispanic or Latino,*,*,*
2022,4 Year,4157,Ganado Unified School District,4728,Ganado High School,Apache,Homeless Cohort,*,*,*
2022,4 Year,4157,Ganado Unified School District,4728,Ganado High School,Apache,Income Eligibility 1 and 2,71,97,73.2
2022,4 Year,4157,Ganado Unified School District,4728,Ganado High School,Apache,Male,*,*,62.9
2022,4 Year,4157,Ganado Unified School District,4728,Ganado High School,Apache,Migrant Cohort,*,*,*
2022,4 Year,4157,Ganado Unified School District,4728,Ganado High School,Apache,Military Cohort,*,*,*
2022,4 Year,4157,Ganado Unified School District,4728,Ganado High School,Apache,Multiple Races,*,*,*
2022,4 Year,4157,Ganado Unified School District,4728,Ganado High School,Apache,Special Education,*,*,66.7
2022,4 Year,4158,Chinle Unified District,4737,Chinle High School,Apache,All,188,255,73.7
2022,4 Year,4158,Chinle Unified District,4737,Chinle High School,Apache,American Indian or Alaska Native,173,228,75.9
2022,4 Year,4158,Chinle Unified District,4737,Chinle High School,Apache,EL Cohort,*,*,60
2022,4 Year,4158,Chinle Unified District,4737,Chinle High School,Apache,Female,99,124,79.8
2022,4 Year,4158,Chinle Unified District,4737,Chinle High School,Apache,Foster Care Cohort,*,*,*
